full_title,society_name,rent,area_sqft,furnishing,apartment_type,preferred_tenants,link
3 BHK Flat In Migsun (mahaluxmi)green for Rent  In  Beta I,,25000,1810,,3 BHK,Male,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in--beta-i-greater_noida-for-rs-25000/8a9f9383966b54ce01966ba81fb02240/detail
2 BHK Apartment In Stellar Jeevan for Rent  In Omicron Iii,Stellar Jeevan,18000,1193,,2 BHK,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-omicron-iii-greater_noida-for-rs-18000/8a9f8e4392af9bbb0192afbfbde20728/detail
1 RK Flat In Gaur Runway Suites for Rent  In Gaur Yamuna City,,14000,460,,1 RK,Male,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-gaur-yamuna-city-greater_noida-for-rs-14000/8a9f8a8497b7115d0197b71ae70a0269/detail
2 BHK Flat In Supertech Ecovillage 1 for Rent  In Bisrakh Jalalpur,,9000,900,,2 BHK,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bisrakh-jalalpur-greater_noida-for-rs-9000/8a9f8a8497defa120197df399cef1d60/detail
"3 BHK Apartment In Migsun Twiinz for Rent  In 2202, Eta Ii, Greater Noida, Rasoolpur Rai, Uttar Pradesh 201310, India",Migsun Twiinz,7000,1350,,3 BHK,"Male, Company",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-2202-eta-ii-greater-noida-rasoolpur-rai-uttar-pradesh-201310-india-greater_noida-for-rs-7000/8aa9b2619bb5dd62019bb63bc3cb2c73/detail
"2 BHK Apartment In Migsun Twinz for Rent  In  Eta 2,",Migsun Twinz,22000,845,,2 BHK,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in--eta-2--greater_noida-for-rs-22000/8a9fbb83957e704301957e9bdda90f49/detail
2 BHK Apartment In Vihaan Greens Sec 1 Greater for Rent  In Sector 1,Vihaan Greens sec 1 greater,16000,1075,,2 BHK,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-16000/8a9f908995dc08610195dc7d9ce72a16/detail
2 BHK Flat In Raksha Adella for Rent  In Raksha Addela,,8750,1400,,2 BHK,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-raksha-addela-noida-for-rs-8750/8a9faa86969edaf701969f35aaef2713/detail
3 BHK Apartment In Nirala Estate for Rent  In Nirala Estate,Nirala estate,12000,1400,,3 BHK,Female,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-nirala-estate-greater_noida-for-rs-12000/8aa9bf4c9c3dc7c6019c3df94e460b38/detail
2 BHK Apartment In Proview Technocity Apartments for Rent  In Chi V,Proview Technocity Apartments,9000,1200,,2 BHK,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-chi-v-greater_noida-for-rs-9000/8aa99dec9c4d3a8c019c4e3305563443/detail
