full_title,society_name,rent,area_sqft,apartment_type,preferred_tenants,link,Locality
2 BHK Apartment In Crc Sublimis for Rent  In Sector 1,CRC Sublimis,33000,1050,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-33000/8a9fad84999dba5001999e21ac3e1547/detail,Sector 1
2 BHK Apartment In Arihant Ambar for Rent  In Greater Noida,Arihant Ambar,30000,1475,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-greater-noida-greater_noida-for-rs-30000/8a9f9a827dddbc67017dddf709911391/detail,Greater Noida
3 BHK Apartment In Migsun Ultimo for Rent  In Omicron Iii,Migsun Ultimo,45000,1599,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-omicron-iii-greater_noida-for-rs-45000/8aa9b8189c5faebe019c5fd138c20c71/detail,Omicron Iii
2 BHK Apartment In Ajnara Ali Garden for Rent  In Sector 16b,Ajnara ali garden,27000,1100,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16b-noida-for-rs-27000/8a9f918395f5be2e0195f5c4a68e0110/detail,Sector 16b
"2 BHK Apartment In Migsun Ultimo, Omicron Iii for Rent  In Omicron Iii","Migsun Ultimo, Omicron III",25000,1500,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-omicron-iii-greater_noida-for-rs-25000/8aa9b2079c5786be019c59ae0eac492b/detail,Omicron Iii
2 BHK Apartment In Victoryone Central for Rent  In Sector 12,Victoryone Central,24000,1029,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-12-greater_noida-for-rs-24000/8a9f938d743ec6b80174400ea5dc04f6/detail,Sector 12
2 BHK Apartment In Supertech Eco Village-1 for Rent  In Sector 1,SUPERTECH ECO VILLAGE-1,23000,851,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-23000/8aa99cd59c372092019c37851abe2a93/detail,Sector 1
3 BHK Apartment In Presidency Heights for Rent  In Yex Sector 25,Presidency Heights,25000,1615,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-yex-sector-25-greater_noida-for-rs-25000/8a9f8303900d4eb901900fc32d3644f7/detail,Sector 25
4 BHK Apartment In Omkar Royal Nest for Rent  In Tech Zone Iv,Omkar Royal Nest,80000,3223,4,All,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-tech-zone-iv-greater_noida-for-rs-80000/8a9f88c48d71e462018d7325789579b3/detail,Tech Zone Iv
1 BHK Apartment In Supertech Eco Village 1 for Rent  In Sector 1,supertech eco village 1,18800,600,1,All,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-18800/8a9fc38280ea94560180eac806222aa3/detail,Sector 1
"2 BHK Apartment In Victory One  for Rent  In Sector 16, Greater",Victory One,24000,1210,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16-greater-greater_noida-for-rs-24000/8aa9ba339c608a65019c6097650d03c0/detail,Sector 16
3 BHK Apartment In Stellar Mi Legacy for Rent  In Zeta I,Stellar Mi Legacy,50000,2207,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-zeta-i-greater_noida-for-rs-50000/8a9fad8598bdc1900198be04e7b11133/detail,Zeta I
3 BHK Apartment In Newtech La Galaxia  for Rent  In Surajpur,Newtech La Galaxia,20000,1399,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-surajpur-greater_noida-for-rs-20000/8a9fbf828269999a018269de89de1d4e/detail,Surajpur
2 BHK Apartment In Park Avenue Gaur City 1 Noida Extension for Rent  In Sector 4,Park avenue gaur city 1 noida extension,24000,1000,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-4-noida-for-rs-24000/8a9f82829c172832019c17b0a6711a58/detail,Sector 4
2 BHK Apartment In Gaur Atulyam for Rent  In Omicron I,Gaur Atulyam,26000,945,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-omicron-i-noida-for-rs-26000/8a9f91829b447ce0019b44ebe0411736/detail,Omicron I
3 BHK Apartment In Purvanchal Royal City for Rent  In  Chi V,Purvanchal Royal City,40000,1725,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in--chi-v-greater_noida-for-rs-40000/8a9f8d83967f806101967ff14f171b5a/detail,Chi V
4 BHK Apartment In Eldeco Golf View Apartments for Rent  In Omega 1,Eldeco Golf View Apartments,30000,1850,4,All,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-omega-1-greater_noida-for-rs-30000/8a9f92df74f92e350174f9999e082a3e/detail,Omega
3 BHK Apartment In Gaur Saundaryam for Rent  In  Sector 4,Gaur Saundaryam,40000,1650,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in--sector-4-noida-for-rs-40000/8aa9b1349c27c913019c28143b451f90/detail,Sector 4
4 BHK Apartment In Ace Platinum for Rent  In Zeta I,ACE Platinum,55000,2200,4,All,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-zeta-i-noida-for-rs-55000/8a9fb3839a3f84a4019a3fc7da6616a7/detail,Zeta I
1 RK Apartment In Ansal Sushant Serene Residency Daksh Fair Alarms for Rent  In Sector Eta 2,Ansal Sushant Serene Residency Daksh Fair Alarms,13000,550,1,All,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-sector-eta-2-greater_noida-for-rs-13000/8a9f88038e17fab0018e18304d3d287d/detail,Eta
1 RK Apartment In Gaur City Mall for Rent  In Gaur City Mall,Gaur City Mall,30000,550,1,All,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-gaur-city-mall-noida-for-rs-30000/8a9f918280cb097c0180cbaa8309754a/detail,Gaur City
2 BHK Apartment In Gaur Yamuna City for Rent  In Chi V,Gaur Yamuna City,16500,900,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-chi-v-greater_noida-for-rs-16500/8a9f8cc3923f2aee01923f5f0c3a02f1/detail,Chi V
4 BHK Apartment In Ace Platinum for Rent  In Zeta I,ACE Platinum,40000,1950,4,All,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-zeta-i-noida-for-rs-40000/8a9f8c84974ec84501974f1667952316/detail,Zeta I
2 BHK Apartment In Vihaan Green for Rent  In Sector 20,vihaan green,15000,1100,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-20-greater_noida-for-rs-15000/8aa9a41d9c0dede4019c0efc63a5797e/detail,Sector 20
3 BHK Apartment In Today Homes Kings Park for Rent  In Omega I,Today Homes Kings Park,30000,1250,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-omega-i-greater_noida-for-rs-30000/8a9f91829c08c80a019c0a187c3e4e2a/detail,Omega I
3 BHK Apartment In Sds Nri Residency for Rent  In Omega Ii,SDS NRI Residency,10000,900,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-omega-ii--greater_noida-for-rs-10000/8a9fd9838822c33e018823297c063acb/detail,Omega Ii
1 RK Apartment In Earthcon Casa Grande  for Rent  In Chi 5,Earthcon Casa Grande,18000,393,1,All,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-chi-5-greater_noida-for-rs-18000/8aa994569bdf9459019be00b3a15326d/detail,Chi
2 BHK Apartment In Migsun Ultimo for Rent  In Omicron Iii,Migsun Ultimo,35000,900,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-omicron-iii-greater_noida-for-rs-35000/8aa997989c03a0b3019c03f2eb832214/detail,Omicron Iii
2 BHK Apartment In Palm Ashiyana for Rent  In Sector 1,Palm ashiyana,22000,1000,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-22000/8a9f938395c61b4e0195c665ddba0d9d/detail,Sector 1
2 BHK Apartment In Twin Celestial for Rent  In Sector 1,Twin celestial,18000,1600,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-18000/8a9fae83952ce62c01952d0342490a5b/detail,Sector 1
4 BHK Apartment In Migsun Vilaasa Walk for Rent  In Gn Sector Eta Ii,Migsun Vilaasa Walk,30000,1925,4,All,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-gn-sector-eta-ii-greater_noida-for-rs-30000/8a9f02878a96a665018a984911041eca/detail,Eta Ii
1 BHK Apartment In Ravi Enclave for Rent  In Surajpur,Ravi Enclave,7000,330,1,All,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-surajpur-greater_noida-for-rs-7000/8a9f888399e11af10199e12a7f180482/detail,Surajpur
2 BHK Apartment In Ace Platinum for Rent  In Zeta I,Ace Platinum,30000,1050,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-zeta-i-noida-for-rs-30000/8a9f8f848be55adf018be615fa915949/detail,Zeta I
2 BHK Apartment In Ace Platinum for Rent  In  Zeta I,ACE PLATINUM,30000,1050,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in--zeta-i-greater_noida-for-rs-30000/8a9fad9197fde1420197fe1bf24d1d05/detail,Zeta I
"2 BHK Apartment In Newtech La Galaxia, Surajpur for Rent  In Surajpur","Newtech La Galaxia, Surajpur",25000,1195,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-surajpur-greater_noida-for-rs-25000/8a9fac83954c3a3201954ca3593319f0/detail,Surajpur
1 BHK Apartment In Earthcon Casa Grande  for Rent  In Chi 5,Earthcon Casa Grande,23000,611,1,All,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-chi-5-greater_noida-for-rs-23000/8aa994569bdf9459019bdfe4f271219a/detail,Chi
2 BHK Apartment In Gaur Atulyam Gravity for Rent  In Omicron 1a,Gaur Atulyam Gravity,27000,957,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-omicron-1a-greater_noida-for-rs-27000/8a9fa983943bb70f01943bbc65df00ba/detail,Omicron
3 BHK Apartment In Mahagun Mantra 2 for Rent  In Sector 10,mahagun mantra 2,28000,1125,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-10-noida-for-rs-28000/8a9fac84955166af0195519bcd3f147f/detail,Sector 10
2 BHK Apartment In Gaursons 7th Avenue for Rent  In Sector 4,Gaursons 7th Avenue,32000,1075,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-4-greater_noida-for-rs-32000/8a9fac8494918be3019491bba8500f5a/detail,Sector 4
3 BHK Apartment In Panchsheel Greens 2 for Rent  In Sector 16b,Panchsheel Greens 2,25000,1250,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16b-greater_noida-for-rs-25000/8aa9a2969bcf0e4d019bcfa22d0b32a0/detail,Sector 16b
1 RK Apartment In Imperia Bandhan for Rent  In Knowledge Park V,Imperia Bandhan,12000,550,1,All,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-knowledge-park-v-greater_noida-for-rs-12000/8a9fa184978c94a601978d0028f22ac2/detail,Knowledge Park V
"3 BHK Apartment In Divine Grace Society for Rent  In Omega 2, Greater Noida",Divine Grace Society,36000,1800,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-omega-2-greater-noida-greater_noida-for-rs-36000/8a9f8b6d90b07b020190b0c866c121a6/detail,Omega
"1 RK Apartment In Galaxy Blue Saphire Plaza, Sector 4 for Rent  In Sector 4","Galaxy Blue Saphire Plaza, Sector 4",47000,325,1,All,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-sector-4-noida-for-rs-47000/8a9f8b85978d0ab501978d5e5c5c1fe9/detail,Sector 4
4 BHK Apartment In Flora Heritage for Rent  In Sector 1,FLORA HERITAGE,120000,5000,4,All,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-sector-1-noida-for-rs-120000/8a9fa6849995946c019995ad0af308b3/detail,Sector 1
"2 BHK Apartment In Aims Green Avenue, Sector 4 for Rent  In Sector 4","Aims Green Avenue, Sector 4",30000,1150,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-4-noida-for-rs-30000/8aa9b052990f09a90199130cd71c7031/detail,Sector 4
3 BHK Apartment In Unitech Cascades for Rent  In Pi I & Ii,Unitech Cascades,50000,2114,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-pi-i-%26-ii-greater_noida-for-rs-50000/8a9f92839307953a019307e802da0b8d/detail,Pi I
3 BHK Apartment In Ace Divino for Rent  In Sector 1,Ace Divino,36000,1565,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1-noida-for-rs-36000/8aa9b33c9b8c1bbd019b8cb543943007/detail,Sector 1
3 BHK Apartment In Ska Greenarch for Rent  In Sector 16b,SKA Greenarch,35000,1650,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16b-greater_noida-for-rs-35000/8a9f8a038fb8dddf018fb91676921e5e/detail,Sector 16b
3 BHK Apartment In Arihant Arden for Rent  In Sector 1,Arihant Arden,50000,1495,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1-noida-for-rs-50000/8a9fc6838ab05de6018ab1e1a8e2617c/detail,Sector 1
2 BHK Apartment In Amrapali Spring Meadows Plans for Rent  In Tech Zone 4,Amrapali Spring Meadows Plans,23000,970,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-tech-zone-4-greater_noida-for-rs-23000/8aa9a47b9b725c14019b7341bf8a5001/detail,Tech Zone
"1 RK Apartment In Engineers Park, Sector Omega 1 for Rent  In Sector Omega 1","Engineers Park, Sector Omega 1",7500,465,1,"Company, Bachelor",https://www.nobroker.in/property/1-rk-apartment-for-rent-in-sector-omega-1-greater_noida-for-rs-7500/8aa9ac559c38a0a2019c38d796eb0b25/detail,Omega
2 BHK Apartment In Vvip Meridian Tower for Rent  In Sector 16,vvip meridian tower,25000,1090,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16-noida-for-rs-25000/8a9fb2838bea88ba018beae6517114b0/detail,Sector 16
"2 BHK Apartment In Himalaya Pride for Rent  In Noida Extension, Greater Noida",Himalaya Pride,30000,1188,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-noida-extension-greater-noida-greater_noida-for-rs-30000/8a9f8a078f812fc7018f815811ea118a/detail,Noida Extension
"1 BHK Apartment In Purvanchal Royal City, Chi 5 for Rent  In Purvanchal Royal City","Purvanchal Royal City, Chi 5",28000,608,1,Family,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-purvanchal-royal-city-greater_noida-for-rs-28000/8a9f86c391dc765c0191dcbb7c9d2219/detail,Chi
1 BHK Apartment In Ace Platinum for Rent  In Zeta I,ACE Platinum,16500,700,1,Family,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-zeta-i-noida-for-rs-16500/8a9f908796fb94b30196fbc6fa9614a5/detail,Zeta I
3 BHK Apartment In Ats Paradiso for Rent  In Chi Iv,ATS Paradiso,37000,2000,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-chi-iv-greater_noida-for-rs-37000/8a9fed848a9bcc7a018a9d021b685a0f/detail,Chi Iv
2 BHK Apartment In Exotica Dreamville for Rent  In Sector 16,Exotica Dreamville,31000,920,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16-greater_noida-for-rs-31000/8aa9b3949c5fae4e019c5fb70a930232/detail,Sector 16
"3 BHK Apartment In Unitech Horizon  for Rent  In Pi I & Ii, Greater Noida",Unitech horizon,30000,1765,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-pi-i-%26-ii-greater-noida-greater_noida-for-rs-30000/8a9f0283895c79f801895daa4c8d54d5/detail,Pi I
3 BHK Apartment In Unitech Horizon for Rent  In Pi I & Ii,Unitech Horizon,40000,1768,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-pi-i-%26-ii-greater_noida-for-rs-40000/8a9f8d8697ddb6a70197de0fe8d417fe/detail,Pi I
3 BHK Apartment In Mahagun Mywoods  for Rent  In Sector 16c,Mahagun Mywoods,34000,1545,3,"Family, Company",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16c-noida-for-rs-34000/8aa9a1e19c416d29019c42a933f212e8/detail,Sector 16c
"1 BHK Apartment In Shivalik Homes for Rent  In Surajpur, Greater Noida",Shivalik Homes,13000,635,1,Family,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-surajpur-greater-noida-greater_noida-for-rs-13000/8a9f8b439298dc560192990c757f0f5f/detail,Surajpur
2 BHK Apartment In Amrapali Golf Homes for Rent  In Sector 4,Amrapali Golf Homes,30000,1200,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-4-greater_noida-for-rs-30000/8a9f8e0391569171019156d28e1211eb/detail,Sector 4
"4+ BHK Apartment In The Kings Reserve for Rent  In  Gamma Ii,",The Kings Reserve,100000,2900,4,Family,https://www.nobroker.in/property/4%2b-bhk-apartment-for-rent-in--gamma-ii--greater_noida-for-rs-100000/8aa998ce9c4bb7d0019c4c3f62bf38ef/detail,Gamma Ii
4 BHK Apartment In Stellar Icon Apartments for Rent  In Chi Iii,Stellar Icon Apartments,50000,3690,4,Family,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-chi-iii-greater_noida-for-rs-50000/8aa99c919c469352019c47051014301d/detail,Chi Iii
2 BHK Apartment In Avj Heights for Rent  In Sector Zeta I,Avj Heights,26000,1200,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-zeta-i-noida-for-rs-26000/8a9f80fe70e8714d0170e8855ee708d6/detail,Zeta I
1 BHK Apartment In Avj Heights for Rent  In Zeta I,avj heights,16000,600,1,Family,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-zeta-i-greater_noida-for-rs-16000/8a9fa08393fc33650193fc45fa75054e/detail,Zeta I
3 BHK Apartment In Panchsheel Greens for Rent  In Sector 16 B,Panchsheel Greens,40000,1735,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16-b-noida-for-rs-40000/8a9f91839ad54a67019ad5a64dd707f7/detail,Sector 16
3 BHK Apartment In Amaatra Homes for Rent  In Sector 10,Amaatra Homes,25000,1405,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-10-greater_noida-for-rs-25000/8a9f82829b1c8804019b1c9621cb0338/detail,Sector 10
2 BHK Apartment In Capital Athena for Rent  In Sector 1,Capital Athena,26000,1000,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-26000/8a9f8e8597e87b4a0197e8cde5e423cd/detail,Sector 1
3 BHK Apartment In Panchsheel Greens 2  for Rent  In Sector 16,Panchsheel Greens 2,27000,1350,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16-greater_noida-for-rs-27000/8a9fb3e67e44bab5017e451a568e1b41/detail,Sector 16
3 BHK Apartment In Gaur Atulyam for Rent  In Omicron I,Gaur Atulyam,40000,1300,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-omicron-i-greater_noida-for-rs-40000/8a9f8c838a028f38018a02b137fb1edc/detail,Omicron I
1 BHK Apartment In Ace Platinum for Rent  In Zeta I,Ace Platinum,25000,700,1,Family,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-zeta-i-greater_noida-for-rs-25000/8a9fad838c44a181018c453e39a03f24/detail,Zeta I
3 BHK Apartment In Himalaya Pride for Rent  In Tech Zone Iv,Himalaya Pride,14000,1188,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-tech-zone-iv-noida-for-rs-14000/8a9f8203750cdc2a017511530cdc27d2/detail,Tech Zone Iv
3 BHK Apartment In Ajnara Homes for Rent  In Sector 121,Ajnara Homes,25000,1595,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-121-noida-for-rs-25000/8a9f91829c3b34a6019c3bb05d811da2/detail,Sector 121
3 BHK Apartment In Eldeco Mystic Greens for Rent  In Omicron I,Eldeco Mystic Greens,25000,1792,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-omicron-i-greater_noida-for-rs-25000/8aa9afdc9c27c906019c27edb06d0e0f/detail,Omicron I
2 BHK Apartment In Arihant Abode for Rent  In Sector 10,Arihant Abode,25000,820,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-10-greater_noida-for-rs-25000/8a9f85c38e3bc6f2018e3bd0b76b033a/detail,Sector 10
3 BHK Apartment In Uppal Plumeria Garden Estate for Rent  In Omicron 3,Uppal Plumeria Garden Estate,30000,1737,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-omicron-3-greater_noida-for-rs-30000/8aa9bf519b161763019b16536e4b1722/detail,Omicron
3 BHK Apartment In Saya Zion for Rent  In  Sector 4,Saya Zion,33000,1664,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in--sector-4-greater_noida-for-rs-33000/ff8081816eb0afe7016eb0dbcd261c96/detail,Sector 4
3 BHK Apartment In Arihant Arden for Rent  In Sector 1,Arihant Arden,31500,1375,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-31500/8a9f82229c19bb47019c1bcf0eb82343/detail,Sector 1
2 BHK Apartment In Vvip Homes for Rent  In Sector 16c,VVIP Homes,30000,1190,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16c-greater_noida-for-rs-30000/8aa9b6ac9c2729c8019c2765c3b01b5b/detail,Sector 16c
3 BHK Apartment In Mahagun Mywoods  for Rent  In Sector 16c,Mahagun Mywoods,35000,1235,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16c-noida-for-rs-35000/8a9f915976043a7d01760448ef2a0394/detail,Sector 16c
2 BHK Apartment In Panchsheel Hynish for Rent  In Sector 1,Panchsheel Hynish,28000,909,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1--noida-for-rs-28000/8aa988a59c028df9019c033d95073a53/detail,Sector 1
2 BHK Apartment In Ace Platinum for Rent  In Zeta I,ACE Platinum,25000,1050,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-zeta-i-noida-for-rs-25000/8a9fb98495b41b7e0195b449fbf40b82/detail,Zeta I
3 BHK Apartment In Amrapali Kingswood for Rent  In Sector 4,Amrapali Kingswood,50000,1595,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-4-greater_noida-for-rs-50000/8aa9b2569c0dedf6019c0ea0221c523f/detail,Sector 4
2 BHK Apartment In Celestial Palace for Rent  In Sector Pi-1,Celestial Palace,23000,1050,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-pi-1-greater_noida-for-rs-23000/8a9fa5827c1b1f84017c1d02ddcd728e/detail,Pi
3 BHK Apartment In 16th Avenue for Rent  In Sector 16c,16th Avenue,28000,1600,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16c-greater_noida-for-rs-28000/8a9f85839169e0fa01916a4b517c2b1f/detail,Sector 16c
2 BHK Apartment In Shri Radha Sky Gardens  for Rent  In Sector 16b,Shri Radha Sky Gardens,28000,1500,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16b-noida-for-rs-28000/8aa999469c08c7d1019c09bb8aff6985/detail,Sector 16b
3 BHK Apartment In Uppal Plumeria Garden Estate for Rent  In Omicron Iii,Uppal Plumeria Garden Estate,20000,1800,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-omicron-iii-noida-for-rs-20000/8a9f9e8376c40a240176c77db101470b/detail,Omicron Iii
2 BHK Apartment In Amaatra Homes for Rent  In Knowledge Park Iv,Amaatra Homes,35000,1100,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-knowledge-park-iv-greater_noida-for-rs-35000/8aa9b9b49c22bc86019c233b649a3763/detail,Knowledge Park Iv
2 BHK Apartment In Nirala Greenshire for Rent  In Sector 2,Nirala Greenshire,20000,950,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-2-greater_noida-for-rs-20000/8a9fdb8282fd62930182fdf954c66729/detail,Sector 2
2 BHK Apartment In Ajnara Homes for Rent  In Sector 121,Ajnara Homes,25000,850,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-121-noida-for-rs-25000/8a9f8fc39231dd58019231f3dcc90604/detail,Sector 121
3 BHK Apartment In Arihant Arden for Rent  In Sector 1,Arihant Arden,29000,1090,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-29000/8a9f9c828616472a0186169f6cfa3efe/detail,Sector 1
2 BHK Apartment In Shivalik Homes for Rent  In Surajpur,Shivalik Homes,18000,1285,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-surajpur-greater_noida-for-rs-18000/8aa997369bfe7a84019bff31a5ad4ebb/detail,Surajpur
2 BHK Apartment In Panchsheel Hynish for Rent  In Sector 1,Panchsheel Hynish,29996,1197,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-noida-for-rs-29996/8a9fb283945b0af701945b276e17069d/detail,Sector 1
"2 BHK Apartment In Celestial Palace, Greater Noida for Rent  In Sector Pi-1","Celestial Palace, Greater Noida",22000,1050,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-pi-1-greater_noida-for-rs-22000/8a9f85827e2d8edf017e2dbba8570d7e/detail,Pi
2 BHK Apartment In Nirala Estate  for Rent  In Tech Zone Iv,Nirala Estate,23000,955,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-tech-zone-iv-noida-for-rs-23000/8a9fa783944e991b01944f158b512f3a/detail,Tech Zone Iv
"2 BHK Apartment In Ska Greenarch, Sector 63 for Rent  In Sector 63","SKA Greenarch, Sector 63",30000,1000,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-63-noida-for-rs-30000/8aa9b8589beb614d019bebbce8d812e3/detail,Sector 63
2 BHK Apartment In Ajnara Homes for Rent  In Sector 121,Ajnara Homes,30000,1090,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-121-noida-for-rs-30000/8a9f8a20729dcaa40172a0b72f2b2821/detail,Sector 121
3 BHK Apartment In Proview Technocity Apartments for Rent  In Chi V,Proview Technocity Apartments,30000,1201,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-chi-v-greater_noida-for-rs-30000/8a9f878497ce3ddb0197ce985e0c1553/detail,Chi V
2 BHK Apartment In Panchsheel Greens for Rent  In Sector 16b,Panchsheel Greens,25000,1000,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16b-greater_noida-for-rs-25000/8a9f8e438fa58e42018fa5afe0ba0dde/detail,Sector 16b
3 BHK Apartment In Mahagun Mantra Ii for Rent  In Sector 10,Mahagun Mantra Ii,28000,1125,3,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-10-greater_noida-for-rs-28000/8a9f8fc393d48ae10193d4a644030880/detail,Sector 10
2 BHK Apartment In Lotus Welfare Society for Rent  In Omicron Iii,LOTUS WELFARE SOCIETY,18000,1000,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-omicron-iii-greater_noida-for-rs-18000/8a9fa8839a0abb85019a0b1266d31fcd/detail,Omicron Iii
2 BHK Apartment In Harsh Complex for Rent  In Knowledge Park I,harsh complex,32000,900,2,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-knowledge-park-i-greater_noida-for-rs-32000/8aa9a2859bcafaf0019bcbf365c1749e/detail,Knowledge Park I
