full_title,society_name,rent,area_sqft,apartment_type,preferred_tenants,link,Locality
3 BHK Apartment In Kendriy Vihar P4 Greater Noida for Rent  In Kendriya Vihar,Kendriy Vihar P4 Greater Noida,10000,1500,3,Female,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kendriya-vihar-greater_noida-for-rs-10000/8aa997cd9bddf83f019bde7ff02a0979/detail,Greater Noida
2 BHK Apartment In Migsun Twiinz for Rent  In Eta Ii,Migsun Twiinz,20000,697,2,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-eta-ii-greater_noida-for-rs-20000/8aa9ae569be63b00019be682caf210b1/detail,Eta Ii
3 BHK Apartment In Apex Splendour for Rent  In Tech Zone Iv,Apex Splendour,22000,1320,3,Female,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-tech-zone-iv-greater_noida-for-rs-22000/8a9f848498f95c400198f980877501c8/detail,Tech Zone Iv
"2 BHK Apartment In Blydan Orchid Residency for Rent  In 11, Sector 1, Aimnabad, Bisrakh Jalalpur, Greater Noida, Bisrakh Jalalpur, Uttar Pradesh 201318, India",Blydan Orchid Residency,18000,1020,2,"Family, Bachelor",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-11-sector-1-aimnabad-bisrakh-jalalpur-greater-noida-bisrakh-jalalpur-uttar-pradesh-201318-india-greater_noida-for-rs-18000/8aa9939d9c41898d019c42dad63817aa/detail,Sector 1
1 RK Apartment In Radicon Vedantam for Rent  In Gaur City 2,Radicon Vedantam,9000,250,1,Bachelor,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-gaur-city-2-ghaziabad-for-rs-9000/8a9f82c29c61d451019c63332b771d6f/detail,Gaur City 2
"1 RK Apartment In Amrapali O2 Valley, Noida Extension for Rent  In Noida Extension","Amrapali O2 Valley, Noida Extension",14000,250,1,Bachelor,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-noida-extension-noida-for-rs-14000/8a9f91829b447ce0019b44f4872119c0/detail,Noida Extension
3 BHK Apartment In Alstonia Apartments for Rent  In Sector Pi-1,Alstonia Apartments,9000,1600,3,Bachelor,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-pi-1-greater_noida-for-rs-9000/8a9f91e29bbf9bbc019bc0608a3920ef/detail,Pi
3 BHK Apartment In Avj Heights for Rent  In Zeta I,AVJ Heights,30000,1400,3,Bachelor,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-zeta-i-greater_noida-for-rs-30000/8a9f8503909b06f701909b4db0b319fc/detail,Zeta I
3 BHK Apartment In Proview Technocity Apartments for Rent  In Chi V,Proview Technocity Apartments,32000,1492,3,Bachelor,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-chi-v-greater_noida-for-rs-32000/8a9fb98596e8a3aa0196e8aaedea01e0/detail,Chi V
"1 RK Apartment In Vihaan Garden City, Sector 1, Noida for Rent  In Sector 1, Noida","Vihaan Garden City, Sector 1, Noida",7500,135,1,Bachelor,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-sector-1-noida-noida-for-rs-7500/8aa9ae779c3fd117019c404b4e7d06c6/detail,Sector 1
"3 BHK Apartment In Panchsheel Greens, Sector 16 B for Rent  In Sector 16 B","Panchsheel Greens, Sector 16 B",25000,1350,3,"Family, Male",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16-b-noida-for-rs-25000/8aa999429c14944b019c1525403629a7/detail,Sector 16
